8296_3_Y2,08-28-2015,15:18:09,SetA
Question# ,     Choice
8296_3_Y2,SetA, 6 ,54851.780,54851.780,0.000,  6.723,  0.000,  8.033,   1 , 22 , 1 , 0 ,"$10 in 7 days"," $0.00 now"
8296_3_Y2,SetA, 7 ,54860.200,54860.200,0.000,  0.000,  2.871,  4.275,   1 , 18 , 2 , 0 ," $1.50 now","$10 in 7 days"
8296_3_Y2,SetA, 8 ,54864.870,54864.870,0.000,  0.000,  4.026,  5.227,   2 , 0 , 2 , 0 ,"$10 in 30 days"," $10.50 now"
8296_3_Y2,SetA, 9 ,54870.480,54870.480,0.000,  0.000,  4.586,  5.772,   4 , 14 , 2 , 0 ," $3.50 now","$10 in 180 days"
8296_3_Y2,SetA, 10 ,54876.640,54876.640,0.000,  0.000,  2.512,  3.183,   4 , 20 , 2 , 0 ," $0.50 now","$10 in 180 days"
8296_3_Y2,SetA, 12 ,54880.220,54880.220,0.000,  1.731,  0.000,  2.542,   1 , 8 , 1 , 0 ,"$10 in 7 days"," $6.50 now"
8296_3_Y2,SetA, 14 ,54883.150,54883.150,0.000,  0.000,  1.668,  2.417,   0 , 0 , 2 , 0 ,"$10 now"," $10.50 now"
8296_3_Y2,SetA, 15 ,54885.960,54885.960,0.000,  0.000,  1.698,  2.166,   4 , 11 , 2 , 0 ," $5.00 now","$10 in 180 days"
8296_3_Y2,SetA, 16 ,54888.520,54888.520,0.000,  2.341,  0.000,  2.903,   1 , 2 , 1 , 0 ,"$10 in 7 days"," $9.50 now"
8296_3_Y2,SetA, 17 ,54891.810,54891.810,0.000,  0.000,  1.466,  2.215,   2 , 11 , 2 , 0 ," $5.00 now","$10 in 30 days"
8296_3_Y2,SetA, 20 ,54894.410,54894.410,0.000,  0.000,  1.825,  2.324,   2 , 13 , 2 , 0 ," $4.00 now","$10 in 30 days"
8296_3_Y2,SetA, 23 ,54897.130,54897.130,0.000,  0.000,  2.152,  2.807,   1 , 3 , 2 , 0 ," $9.00 now","$10 in 7 days"
8296_3_Y2,SetA, 24 ,54900.320,54900.320,0.000,  0.000,  1.640,  2.186,   2 , 20 , 2 , 0 ," $0.50 now","$10 in 30 days"
8296_3_Y2,SetA, 27 ,54902.900,54902.900,0.000,  0.000,  1.702,  2.217,   3 , 11 , 2 , 0 ," $5.00 now","$10 in 90 days"
8296_3_Y2,SetA, 28 ,54905.500,54905.500,0.000,  1.436,  0.000,  2.013,   3 , 8 , 1 , 0 ,"$10 in 90 days"," $6.50 now"
8296_3_Y2,SetA, 29 ,54907.910,54907.910,0.000,  2.403,  0.000,  3.105,   1 , 1 , 1 , 0 ," $10.00 now","$10 in 7 days"
8296_3_Y2,SetA, 32 ,54911.400,54911.400,0.000,  1.684,  0.000,  2.246,   1 , 12 , 1 , 0 ,"$10 in 7 days"," $4.50 now"
